Država,Valuta,Min kazni za alkohol (EUR),Min kazni za prehitro vožnjo (EUR),Min kazni za varnostni pas (EUR),Min kazni za mobilni telefon (EUR)
Albanija,ALL,50.0,20.0,50.0,50.0
Andora,EUR,600.0,24.0,20.0,0
Avstrija,EUR,300.0,35.0,35.0,50.0
Belgija,EUR,150.0,160.0,116.0,116.0
Belorusija,BYN,344.23,6.88,6.88,13.77
BIH,BAM,25.55,25.55,51.1,51.1
Bolgarija,BGN,255.5,10.22,25.55,25.55
Češka,CZK,97.5,97.5,58.5,58.5
Črna Gora,EUR,70.0,60.0,40.0,60.0
Danska,DKK,0,469.0,201.0,201.0
Estonija,EUR,400.0,120.0,200.0,200.0
Finska,EUR,0,200.0,70.0,100.0
Francija,EUR,135.0,135.0,135.0,135.0
Gibraltar,GBP,0,0,0,0
Grčija,EUR,78.0,100.0,350.0,100.0
Hrvaška,EUR,90.0,130.0,130.0,130.0
Irska,EUR,5000.0,160.0,120.0,60.0
Islandija,ISK,490.0,105.0,70.0,35.0
Italija,EUR,532.0,169.0,80.0,161.0
Kosovo,EUR,65.0,35.0,35.0,35.0
Latvija,EUR,210.0,40.0,30.0,15.0
Liechtenstein,CHF,640.2,192.06,64.02,106.7
Litva,EUR,289.0,30.0,30.0,86.0
Luksemburg,EUR,145.0,145.0,49.0,74.0
Madžarska,HUF,200.0,60.0,20.0,30.0
Malta,EUR,1200.0,69.88,46.59,100.0
Moldavija,MDL,390.0,78.0,39.0,39.0
Monako,EUR,200.0,45.0,22.5,22.5
Nemčija,EUR,500.0,30.0,30.0,100.0
Nizozemska,EUR,300.0,240.0,180.0,420.0
Norveška,NOK,546.0,655.2,126.0,814.8
Poljska,PLN,1150.0,26.22,23.0,46.0
Portugalska,EUR,250.0,60.0,120.0,120.0
Romunija,RON,261.0,174.0,58.0,116.0
Rusija,RUB,50.0,20.0,10.0,15.0
Severna Makedonija,MKD,244.8,44.8,20.0,44.8
Slovaška,EUR,200.0,150.0,20.0,20.0
Slovenija,EUR,300.0,120.0,120.0,250.0
Španija,EUR,500.0,100.0,200.0,200.0
Srbija,RSD,45.0,45.0,45.0,45.0
Švedska,SEK,0,243.6,130.5,139.2
Švica,CHF,640.2,426.8,64.02,106.7
Turčija,TRY,27.05,6.34,2.92,0
Ukrajina,UAH,56.1,5.61,1.12,9.35
V. Britanija,GBP,5990.0,1198.0,1198.0,1198.0
