Država,Valuta,Min kazni za alkohol,Min kazni za prehitro vožnjo,Min kazni za varnostni pas,Min kazni za mobilni telefon
Albanija,ALL,5.000,2.000,5.000,5.000
Andora,EUR,600,24,20 ,0
Avstrija,EUR,300 ,35 ,35 ,50 
Belgija,EUR,150 ,160,116,116
Belorusija,BYN,1.225,"24,5","24,5",49
BIH,BAM,50 ,50,100 ,100 
Bolgarija,BGN,500 ,20 ,50,50
Češka,CZK,2.500,2.500,1.500,1.500
Črna Gora,EUR,70 ,60 ,40 ,60 
Danska,DKK,0,3.500,1.500,1.500
Estonija,EUR,400 ,120,200 ,200 
Finska,EUR,0,200,70,100
Francija,EUR,135 ,135,135,135
Gibraltar,GBP,0,0,0,0
Grčija,EUR,78 ,100,350,100
Hrvaška,EUR,90 ,130,130,130
Irska,EUR,5.000,160,120,60 
Islandija,ISK,70.000,15.000,10.000,5.000
Italija,EUR,532 ,169 ,80 ,161 
Kosovo,EUR,65 ,35,35,35
Latvija,EUR,210 ,40,30,15
Liechtenstein,CHF,600 ,180 ,60,100
Litva,EUR,289 ,30 ,30 ,86 
Luksemburg,EUR,145 ,145,49,74
Madžarska,HUF,100.000,30.000,10.000,15.000
Malta,EUR,1.200,"69,88","46,59",100
Moldavija,MDL,7.500,1.500,750 ,750 
Monako,EUR,200 ,45 ,"22,50","22,50"
Nemčija,EUR,500 ,30 ,30,100 
Nizozemska,EUR,300 ,240,180,420
Norveška,NOK,6.500,7.800,1.500,9.700
Poljska,PLN,5.000,114,100,200
Portugalska,EUR,250 ,60 ,120 ,120 
Romunija,RON,1.305,870 ,290 ,580 
Rusija,RUB,5.000,2.000,1.000,1.500
Severna Makedonija,MKD,15.300,2.800,1.250,2.800
Slovaška,EUR,200 ,150 ,20 ,20 
Slovenija,EUR,300 ,120 ,120,250 
Španija,EUR,500 ,100 ,200,200
Srbija,RSD,5.000,5.000,5.000,5.000
Švedska,SEK,0,2.800,1.500,1.600
Švica,CHF,600 ,400,60,100
Turčija,TRY,1002 ,235 ,108,0
Ukrajina,UAH,2.550,255 ,51 ,425 
V. Britanija,GBP,5.000,1.000,1.000,1.000
